LSOA_Code,LSOA_Name,District,DERI_Score,Digital_Access,Demography_Score,Deprivation_Score,Broadband_Score,Avg_Download_Speed_Mbps,No_Superfast_Broadband_Pct,Slow_Connections_Pct,Aged_65_Plus_Pct,Day_To_Day_Limited_Pct,No_Qualifications_Pct,Pension_Credit_Rate,Unemployment_Rate,Social_Grade_DE_Pct,IMD_2019_Score
E01026328,South Kesteven 003D,South Kesteven,2.567153543797018,0.7432846456202982,2.36895963686899,2.52691168871417,2.8055893058078945,117.9616228,0.0,0.0,15.0482315,22.6366559,50.280898900000004,16.0,3.4726687999999997,13.890675199999999,40.558
E01026329,South Kesteven 001C,South Kesteven,2.382706800590089,0.7617293199409911,2.9475915485198074,1.0257342361676518,3.174794617082808,35.4366573,0.0,0.0,29.3347302,17.6532216,21.5466352,13.0,1.1524358000000001,4.452593,13.546
E01026330,South Kesteven 012A,South Kesteven,2.2793864286138183,0.7720613571386181,2.2770870025190515,1.0027260502492523,3.5583462330731503,57.97035519,1450.0,3.2258065,23.8341969,12.737478399999999,21.1336599,13.0,0.6044904999999999,3.9291883,13.627
E01026331,South Kesteven 009B,South Kesteven,2.4796000024797786,0.7520399997520222,2.7777678259550456,1.1905066297341727,3.470525551750118,43.09649682,990.0,0.0,26.205787800000003,18.0868167,22.038444300000002,19.0,2.4919614,6.430868200000001,16.593
E01026332,South Kesteven 007E,South Kesteven,2.539117081229749,0.7460882918770251,3.043787302663558,1.162277097411795,3.4112868436138943,42.51462799,800.0,4.6666667,30.4638929,18.0296509,26.235741400000002,12.0,0.7651841,4.6867526999999995,14.389
E01026333,South Kesteven 001D,South Kesteven,2.482875883211953,0.7517124116788048,2.344351604693437,0.9992803016052821,4.104995743337139,57.49823204,3080.0,6.9930069999999995,23.2539683,14.3253968,22.8656273,11.0,0.9126983999999999,4.1269841000000005,11.636
E01026334,South Kesteven 013A,South Kesteven,2.046530396761085,0.7953469603238915,2.2039458331824293,0.8115089287576176,3.1241364283432076,46.75980231,0.0,0.0,22.826087,12.5959079,23.7359551,0.0,0.7672634,3.6445013,6.461
E01026335,South Kesteven 013B,South Kesteven,2.5612152174830087,0.7438784782516992,3.558148675088601,1.0102189111663686,3.115278066194056,48.73982808,0.0,0.0,35.4817708,21.0286458,22.397892,21.0,0.78125,4.4921875,8.826
E01026336,South Kesteven 013C,South Kesteven,2.4900371214629424,0.7509962878537058,2.6415417879023106,1.3070974512491134,3.5214721252374037,45.63342981,1170.0,7.1856287000000005,22.4351051,19.6538937,21.1093991,18.0,2.7194067,9.394314,23.363
E01026337,South Kesteven 013D,South Kesteven,2.089585864029488,0.7910414135970512,2.1844096974991163,0.9309844546626278,3.153363439926721,41.71710214,20.0,0.0,23.4290844,11.7145422,24.3884359,7.0,1.1220826,3.8599640999999996,7.859
E01026338,South Kesteven 009C,South Kesteven,2.3372990988346953,0.7662700901165305,2.443610608667063,0.9756609373137538,3.5926257505232697,52.18370044,1470.0,8.6206897,23.9349342,15.1820294,22.2377622,8.0,1.0069713,5.6545314,12.504
E01026339,South Kesteven 009D,South Kesteven,2.241855665318299,0.7758144334681701,1.9332978117512765,1.4765445651560885,3.315724619047531,33.1139738,390.0,1.6853933,15.9763314,15.0887574,34.973638,14.0,1.4053254,8.3579882,15.67
E01026340,South Kesteven 002B,South Kesteven,2.5503593836858904,0.7449640616314109,3.3811685349244742,1.3542978959914496,2.9156117201417473,93.36935484,0.0,0.0,29.0408526,24.555950300000003,26.754785800000004,31.0,1.3765542,6.3055062,14.134
E01026341,South Kesteven 008B,South Kesteven,2.4092890024297526,0.7590710997570247,2.82829246691132,1.2852736521799533,3.1143008881979846,48.95824742,0.0,0.0,27.3881499,17.7146312,32.1854305,9.0,0.9068924,5.5018138,13.168
E01026342,South Kesteven 008C,South Kesteven,1.9888196264095857,0.8011180373590414,1.8909450952432194,0.8313769293239712,3.244136854661566,60.52457786,540.0,4.950495,16.9406719,13.5096497,23.498233199999998,0.0,0.3573981,5.4324518,8.127
E01026343,South Kesteven 006D,South Kesteven,2.1471514685360624,0.7852848531463937,2.043051532030556,1.4595237006838193,2.9388791728938126,91.89394366,50.0,0.0,15.0,17.7083333,22.7129338,23.0,4.5833333,13.3333333,24.192
E01026344,South Kesteven 006E,South Kesteven,1.8981498498211156,0.8101850150178884,1.7835654137484465,1.0125749767003136,2.898309159014586,97.23683241,0.0,0.0,14.6907216,14.046391799999999,22.513089,7.0,2.0618556999999997,10.5025773,13.096
E01026345,South Kesteven 006F,South Kesteven,2.4446069395417664,0.7555393060458233,3.1749914602041454,1.2983233886974237,2.8605059697237305,109.447153,50.0,0.4926108,27.896759999999997,22.5151016,21.219366400000002,26.0,2.4162548,7.029104899999999,19.882
E01026346,South Kesteven 015D,South Kesteven,2.0838809616557774,0.7916119038344223,2.1657786085195054,0.9384446582094925,3.147419618238334,41.55553145,0.0,0.0,20.8818636,13.8935108,24.464060500000002,7.0,1.0815308,8.2362729,8.128
E01026347,South Kesteven 015E,South Kesteven,2.5971674274450405,0.7402832572554959,3.5200507795904454,1.146331838483012,3.1251196642616637,46.5400289,0.0,0.0,31.0038119,24.7776366,26.29683,24.0,1.3977128,5.7814485,7.995
E01026348,South Kesteven 015F,South Kesteven,2.179741903877767,0.7820258096122233,1.950654943936407,1.4024421641941551,3.186128603502738,32.90327869,0.0,0.0,16.2755488,15.064345200000002,36.994219699999995,5.0,1.0598032,8.251324799999999,13.593
E01026349,South Kesteven 016A,South Kesteven,2.329009399980006,0.7670990600019993,2.670640814517252,1.188946606458492,3.127440778964275,46.02121212,0.0,0.0,24.8071217,17.8041543,23.5116044,18.0,1.6023739,9.3175074,15.9
E01026350,South Kesteven 016B,South Kesteven,2.412882514012285,0.7587117485987716,3.124259007092471,0.8359208196273075,3.2784677153170763,43.79861849,420.0,3.3898304999999995,32.2562979,17.524644000000002,14.184598000000001,21.0,0.9309967,4.4359255,11.619
E01026351,South Kesteven 016C,South Kesteven,2.241352466538546,0.7758647533461454,2.7747694053712255,0.8345661801854138,3.1147218140589996,48.86416185,0.0,0.0,27.785059,16.513761499999998,11.9407008,26.0,1.5072084,7.6015727,11.889
E01026352,South Kesteven 003E,South Kesteven,2.334374843992386,0.7665625156007614,3.60250596591895,0.5166486900733511,2.8839698759848567,100.4419565,0.0,0.0,35.192781000000004,21.9852338,13.142857099999999,5.0,0.7383101000000001,4.5939295,5.028
