LSOA_Code,LSOA_Name,Local_Authority_District,Resident_Population_ONS_2024,GP_Registered_Patients,Number_Difference,Percentage_Difference_Pct,GP_Registration_Coverage_Pct
E01026076,East Lindsey 002B,East Lindsey,2285,2214,-71,-3.11,96.89
E01026178,Lincoln 006D,Lincoln,2201,2130,-71,-3.23,96.77
E01026303,South Kesteven 014A,South Kesteven,1260,1185,-75,-5.95,94.05
E01026271,South Holland 007D,South Holland,1785,1710,-75,-4.2,95.8
E01026078,East Lindsey 003B,East Lindsey,1121,1045,-76,-6.78,93.22
E01026188,North Kesteven 004C,North Kesteven,2214,2136,-78,-3.52,96.48
E01026399,West Lindsey 005C,West Lindsey,1599,1520,-79,-4.94,95.06
E01026384,West Lindsey 004F,West Lindsey,2257,2177,-80,-3.54,96.46
E01034693,North Kesteven 003I,North Kesteven,2057,1977,-80,-3.89,96.11
E01026390,West Lindsey 003B,West Lindsey,1942,1861,-81,-4.17,95.83
E01026197,North Kesteven 008B,North Kesteven,1468,1386,-82,-5.59,94.41
E01026366,West Lindsey 011A,West Lindsey,2524,2440,-84,-3.33,96.67
E01034699,South Holland 009F,South Holland,1495,1410,-85,-5.69,94.31
