"lsoa11","samhi_index.2011","samhi_dec.2011","samhi_index.2012","samhi_dec.2012","samhi_index.2013","samhi_dec.2013","samhi_index.2014","samhi_dec.2014","samhi_index.2015","samhi_dec.2015","samhi_index.2016","samhi_dec.2016","samhi_index.2017","samhi_dec.2017","samhi_index.2018","samhi_dec.2018","samhi_index.2019","samhi_dec.2019","samhi_index.2020","samhi_dec.2020","samhi_index.2021","samhi_dec.2021","samhi_index.2022","samhi_dec.2022"
"E01003313",-1.12367712358114,4,-1.03883802380685,4,-0.787151614779788,5,-0.902338423943775,3,-0.747233779882198,3,-0.603550473277251,3,-0.410599437843009,3,0.301931708512632,6,0.217987347379059,5,-0.19728497907038,3,0.0920449924079547,3,-0.05360979581984,2
"E01003314",-1.33317614650824,3,-1.40746032618942,2,-1.63188338636127,1,-1.5547667945937,1,-1.4888203702879,1,-1.16264099956777,1,-1.19249576656221,1,-0.884447714746549,1,-0.755835067648179,1,-0.618687838312168,1,-0.510910578748558,1,-0.483327218531389,1
"E01003315",-1.33083916569719,3,-1.15981621855468,3,-1.23097933529688,3,-1.59518250944556,1,-1.39834374679543,1,-1.17357230361175,1,-0.979104336940158,1,-0.53518310408121,2,-0.451423133536178,2,-0.230399177585637,2,0.0584127287465192,3,-0.0978194712200674,2
"E01003316",-1.54900007857729,2,-0.929025997373383,5,-1.60355827407069,1,-1.38476914408405,1,-1.74274199480197,1,-1.16001460035512,1,-1.08295602259212,1,-0.745905160224923,1,-0.438587704927201,2,-0.367363655210118,2,-0.18810055942602,2,-0.247227896120151,2
"E01003317",-1.23507148199533,4,-1.28594247266118,2,-1.43697974576015,2,-1.07785628157348,3,-1.41994111221412,1,-0.959221097236904,2,-0.993270795211472,1,-0.790842184316696,1,-0.508611314469344,2,-0.440575468423808,2,-0.306794903757917,2,-0.188924102878982,2
"E01003318",-0.466491587110797,8,0.385872064014034,10,0.893511941598051,10,0.674323119588675,10,-0.336302346348886,6,-0.465803974514908,4,-0.239299612665422,4,0.501888505305169,7,1.23679709863833,8,0.958191509523234,8,1.18845638291915,8,0.792136142667813,6
"E01003319",-1.28242770754298,3,-0.675362366139303,6,-0.505196764018399,7,-0.443730534596718,6,-0.73360712304704,3,-0.757122451849306,3,-0.480454335953612,3,-0.466135443297946,2,-0.120021955907317,3,-0.386308485502101,2,0.0302864732377266,3,-0.162562581247903,2
"E01003320",-0.977174625283089,5,-0.798834575598018,5,-1.02210817592366,4,-0.413494584465728,6,-0.666439257949888,4,-0.958509929980149,2,-0.91939689004127,1,-0.509751233811247,2,-0.094199634849859,3,-0.0147085251189577,3,0.390713618084045,4,-0.210987194746142,2
"E01003321",-0.376868281239338,8,-0.35739923276991,8,-0.175133062011673,8,-0.402516479847358,6,-0.837686209842843,3,-0.386112250036764,4,-0.460058748488929,3,-0.240692995488484,3,0.75561363176719,7,0.105283427851117,4,0.351913721607516,4,0.430534711280772,5
"E01003322",-0.897708633097634,6,-0.515024863341159,7,-0.770489727655638,5,-0.68606562904892,5,-0.73802618622866,3,-0.620494153428141,3,-0.786867876668741,2,0.145683050429582,5,0.251027832120533,5,-0.373075765180863,2,0.00721237180513729,3,0.166981441569214,3
