LSOA_code,Region,LA_Code,LA_Name,Hosp_pop,HospPTt,HospPT15n,HospPT30n,HospPT45n,HospPT60n,HospPT15pct,HospPT30pct,HospPT45pct,HospPT60pct,HospCyct,HospCyc15n,HospCyc30n,HospCyc45n,HospCyc60n,HospCyc15pct,HospCyc30pct,HospCyc45pct,HospCyc60pct,HospCart,HospCar15n,HospCar30n,HospCar45n,HospCar60n,HospCar15pct,HospCar30pct,HospCar45pct,HospCar60pct,HospWalkt,HospWalk15n,HospWalk30n,HospWalk45n,HospWalk60n,HospWalk15pct,HospWalk30pct,HospWalk45pct,HospWalk60pct
E01026073,East Midlands,E07000137,East Lindsey,1006.759765625,111.40303242605,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,71.7519503195986,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0
E01026074,East Midlands,E07000137,East Lindsey,1031.31485748291,120,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,71.3434676365386,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0
E01026075,East Midlands,E07000137,East Lindsey,989.677940368652,57.4911004874747,0,0,0.235167201749917,0.509169357500852,0,0,23.5167201749917,50.9169357500852,79.4588036812264,0,0,0,0,0,0,0,0,35.4537435233946,0,0.0787486545829072,1,1.08737863493884,0,7.87486545829072,100,100,120,0,0,0,0,0,0,0,0
E01026076,East Midlands,E07000137,East Lindsey,995.016014099121,93.822950408281,0,0,0,0,0,0,0,0,74.9990348130686,0,0,0,0,0,0,0,0,35.1110414955461,0,0,1,1,0,0,100,100,120,0,0,0,0,0,0,0,0
E01026077,East Midlands,E07000137,East Lindsey,537.009712219238,56.7799206596397,0,0,0,0.502982108739865,0,0,0,50.2982108739865,85.8380708730716,0,0,0,0,0,0,0,0,32.98679812461,0,0,1,1,0,0,100,100,120,0,0,0,0,0,0,0,0
E01026078,East Midlands,E07000137,East Lindsey,503.913688659668,54.9783050261879,0,0,0,1,0,0,0,100,85.8782399169014,0,0,0,0,0,0,0,0,33.1627976366752,0,0,1,1,0,0,100,100,120,0,0,0,0,0,0,0,0
E01026079,East Midlands,E07000137,East Lindsey,899.998359680176,97.6192647959935,0,0,0,0,0,0,0,0,99.6238884917002,0,0,0,0,0,0,0,0,46.2307942275993,0,0,0,1,0,0,0,100,120,0,0,0,0,0,0,0,0
E01026080,East Midlands,E07000137,East Lindsey,910.674514770508,58.5043969885003,0,0,0.74912075197256,0.74912075197256,0,0,74.912075197256,74.912075197256,49.8425785248298,0,0,0.2110199370949,0.74912075197256,0,0,21.10199370949,74.912075197256,23.3903164795917,0,1,1,2.49824150394512,0,100,100,100,119.366236999646,0,0,0,0,0,0,0,0
E01026081,East Midlands,E07000137,East Lindsey,1254.44613647461,62.8416764822518,0,0,0,0.220425536697583,0,0,0,22.0425536697583,89.7738987174625,0,0,0,0,0,0,0,0,34.7421105123332,0,0,1,1,0,0,100,100,120,0,0,0,0,0,0,0,0
E01026082,East Midlands,E07000137,East Lindsey,1070.81657409668,86.2421238252555,0,0,0.0967098638464848,0.0967098638464848,0,0,9.67098638464848,9.67098638464848,105.358255647956,0,0,0,0,0,0,0,0,46.7089436769784,0,0,0.367896299694052,1.72881356415243,0,0,36.7896299694052,100,120,0,0,0,0,0,0,0,0
E01026083,East Midlands,E07000137,East Lindsey,848.752883911133,65.9751960066394,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,50.4938489431942,0,0,0,1,0,0,0,100,120,0,0,0,0,0,0,0,0
E01026084,East Midlands,E07000137,East Lindsey,729.180183410645,66.3787843817067,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,50.8614649424164,0,0,0,1,0,0,0,100,120,0,0,0,0,0,0,0,0
E01026085,East Midlands,E07000137,East Lindsey,1167.96939849854,80.3496991009556,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,51.3343053283264,0,0,0,1,0,0,0,100,120,0,0,0,0,0,0,0,0
E01026087,East Midlands,E07000137,East Lindsey,523.130722045898,63.8963856196218,0,0,0,0,0,0,0,0,89.1329798056994,0,0,0,0,0,0,0,0,34.3718765272778,0,0,1,1,0,0,100,100,120,0,0,0,0,0,0,0,0
E01026088,East Midlands,E07000137,East Lindsey,585.052322387695,64.5177913253873,0,0,0,0,0,0,0,0,89.3255276737762,0,0,0,0,0,0,0,0,34.4410402186553,0,0,1,1,0,0,100,100,120,0,0,0,0,0,0,0,0
E01026089,East Midlands,E07000137,East Lindsey,1036.65292358398,64.3364474642351,0,0,0,0.490216268382951,0,0,0,24.5108134191475,90.6027001037774,0,0,0,0,0,0,0,0,34.8730186684505,0,0,1,1,0,0,100,100,120,0,0,0,0,0,0,0,0
E01026090,East Midlands,E07000137,East Lindsey,651.244369506836,72.0909491415586,0,0,0,0,0,0,0,0,93.1397208066198,0,0,0,0,0,0,0,0,36.0301981992646,0,0,1,1,0,0,100,100,120,0,0,0,0,0,0,0,0
