LSOA_code,Region,LA_Code,LA_Name,Ph_pop,PhCyct,PhCyc15n,PhCyc30n,PhCyc45n,PhCyc60n,PhCyc15pct,PhCyc30pct,PhCyc45pct,PhCyc60pct,PhCart,PhCar15n,PhCar30n,PhCar45n,PhCar60n,PhCar15pct,PhCar30pct,PhCar45pct,PhCar60pct
E01026133,East Midlands,E07000138,Lincoln,1024,9.2165501345438,10,10,10,10,100,100,100,100,8.29869259459741,10,10,10,10,100,100,100,100
E01026134,East Midlands,E07000138,Lincoln,788,8.28734252127352,9.83502538071066,10,10,10,100,100,100,100,7.17278338394477,10,10,10,10,100,100,100,100
E01026135,East Midlands,E07000138,Lincoln,695,7.87718577841028,6.66762589928058,10,10,10,100,100,100,100,6.64232369802394,10,10,10,10,100,100,100,100
E01026136,East Midlands,E07000138,Lincoln,634,9.78553210689284,3.49369085173502,10,10,10,100,100,100,100,7.98883014064679,10,10,10,10,100,100,100,100
E01026137,East Midlands,E07000138,Lincoln,478,7.63612955577945,2.77196652719665,10,10,10,100,100,100,100,6.6928729261543,10,10,10,10,100,100,100,100
E01026138,East Midlands,E07000138,Lincoln,636,4.83883920013604,2.33647798742138,10,10,10,100,100,100,100,4.64798844840772,10,10,10,10,100,100,100,100
E01026139,East Midlands,E07000138,Lincoln,511,8.97533788713991,5.27397260273973,10,10,10,100,100,100,100,8.2588709270533,10,10,10,10,100,100,100,100
E01026140,East Midlands,E07000138,Lincoln,643,6.14625197823592,1.56143079315708,10,10,10,100,100,100,100,5.95066141083485,10,10,10,10,100,100,100,100
E01026141,East Midlands,E07000138,Lincoln,574,10.3045239664876,5.10801393728223,10,10,10,100,100,100,100,8.63792337883776,10,10,10,10,100,100,100,100
E01026142,East Midlands,E07000138,Lincoln,522,10.1114918239655,3.26053639846743,10,10,10,100,100,100,100,8.32623389132561,10,10,10,10,100,100,100,100
E01026143,East Midlands,E07000138,Lincoln,732,2.84191497975708,10,10,10,10,100,100,100,100,2.84191497975708,10,10,10,10,100,100,100,100
E01026144,East Midlands,E07000138,Lincoln,647,7.14661671364379,10,10,10,10,100,100,100,100,6.43476045508585,10,10,10,10,100,100,100,100
E01026145,East Midlands,E07000138,Lincoln,638,5.58117534619274,10,10,10,10,100,100,100,100,5.20272554517247,10,10,10,10,100,100,100,100
E01026146,East Midlands,E07000138,Lincoln,748,5.48846855597175,10,10,10,10,100,100,100,100,5.35475920995352,10,10,10,10,100,100,100,100
E01026147,East Midlands,E07000138,Lincoln,1055,9.25513882898968,6.21232227488152,10,10,10,100,100,100,100,7.24321235494398,10,10,10,10,100,100,100,100
E01026148,East Midlands,E07000138,Lincoln,965,4.23679320113314,10,10,10,10,100,100,100,100,4.15593766619328,10,10,10,10,100,100,100,100
E01026149,East Midlands,E07000138,Lincoln,816,11.123304642175,3.84803921568627,10,10,10,100,100,100,100,8.11869409594486,10,10,10,10,100,100,100,100
E01026150,East Midlands,E07000138,Lincoln,790,11.8683699557357,3,10,10,10,100,100,100,100,8.35881617578419,10,10,10,10,100,100,100,100
E01026151,East Midlands,E07000138,Lincoln,860,8.1821833840654,7.16395348837209,10,10,10,100,100,100,100,6.89597835970956,10,10,10,10,100,100,100,100
E01026152,East Midlands,E07000138,Lincoln,582,8.10477928721745,4.49828178694158,10,10,10,100,100,100,100,7.03209209652643,10,10,10,10,100,100,100,100
E01026153,East Midlands,E07000138,Lincoln,1123,8.83594383863631,3.28762243989314,10,10,10,100,100,100,100,7.61537835135898,10,10,10,10,100,100,100,100
E01026154,East Midlands,E07000138,Lincoln,528,8.34308031976091,6.46780303030303,10,10,10,100,100,100,100,7.42785556907064,10,10,10,10,100,100,100,100
E01026155,East Midlands,E07000138,Lincoln,767,12.1237707121741,3,10,10,10,100,100,100,100,8.99901309152093,10,10,10,10,100,100,100,100
